Version,Code,Description,Definition,Two_Digit_Code,Two_Digit_Description,Four_Digit_Code,Four_Digit_Description
2.0.0,300101,Agricultural biotechnology diagnostics (incl. biosensors),"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Agricultural biotechnology diagnostics (incl. biosensors)",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300102,Agricultural marine biotechnology,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Agricultural marine biotechnology",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300103,Agricultural molecular engineering of nucleic acids and proteins,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Agricultural molecular engineering of nucleic acids and proteins",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300104,Genetically modified animals,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Genetically modified animals",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300105,Genetically modified field crops and pasture,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Genetically modified field crops and pasture",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300106,Genetically modified horticulture plants,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Genetically modified horticulture plants",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300107,Genetically modified trees,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Genetically modified trees",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300108,Livestock cloning,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Livestock cloning",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300109,Non-genetically modified uses of biotechnology,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Non-genetically modified uses of biotechnology",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300110,Transgenesis,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Transgenesis",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300199,Agricultural biotechnology not elsewhere classified,"Agricultural, Veterinary And Food Sciences/Agricultural biotechnology/Agricultural biotechnology not elsewhere classified",30,"Agricultural, Veterinary And Food Sciences",3001,Agricultural biotechnology
2.0.0,300201,Agricultural hydrology,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural hydrology",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300202,Agricultural land management,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural land management",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300203,Agricultural land planning,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural land planning",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300204,Agricultural management of nutrients,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural management of nutrients",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300205,Agricultural production systems simulation,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural production systems simulation",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300206,Agricultural spatial analysis and modelling,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural spatial analysis and modelling",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300207,Agricultural systems analysis and modelling,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agricultural systems analysis and modelling",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300208,"Farm management, rural management and agribusiness","Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Farm management, rural management and agribusiness",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300209,Germplasm management,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Germplasm management",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300210,Sustainable agricultural development,"Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Sustainable agricultural development",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300299,"Agriculture, land and farm management not elsewhere classified","Agricultural, Veterinary And Food Sciences/Agriculture, land and farm management/Agriculture, land and farm management not elsewhere classified",30,"Agricultural, Veterinary And Food Sciences",3002,"Agriculture, land and farm management"
2.0.0,300301,Animal growth and development,"Agricultural, Veterinary And Food Sciences/Animal production/Animal growth and development",30,"Agricultural, Veterinary And Food Sciences",3003,Animal production
2.0.0,300302,Animal management,"Agricultural, Veterinary And Food Sciences/Animal production/Animal management",30,"Agricultural, Veterinary And Food Sciences",3003,Animal production
2.0.0,300303,Animal nutrition,"Agricultural, Veterinary And Food Sciences/Animal production/Animal nutrition",30,"Agricultural, Veterinary And Food Sciences",3003,Animal production
