Code,Description,Four_Digit_Code,Four_Digit_Description,Two_Digit_Code,Two_Digit_Description,Definition
010101,Algebra and Number Theory,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Algebra and Number Theory
010102,Algebraic and Differential Geometry,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Algebraic and Differential Geometry
010103,"Category Theory, K Theory, Homological Algebra",0101,Pure Mathematics,01,Mathematical Sciences,"Mathematical Sciences/Pure Mathematics/Category Theory, K Theory, Homological Algebra"
010104,Combinatorics and Discrete Mathematics (excl. Physical Combinatorics),0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)
010105,Group Theory and Generalisations,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Group Theory and Generalisations
010106,"Lie Groups, Harmonic and Fourier Analysis",0101,Pure Mathematics,01,Mathematical Sciences,"Mathematical Sciences/Pure Mathematics/Lie Groups, Harmonic and Fourier Analysis"
010107,"Mathematical Logic, Set Theory, Lattices and Universal Algebra",0101,Pure Mathematics,01,Mathematical Sciences,"Mathematical Sciences/Pure Mathematics/Mathematical Logic, Set Theory, Lattices and Universal Algebra"
010108,Operator Algebras and Functional Analysis,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Operator Algebras and Functional Analysis
010109,"Ordinary Differential Equations, Difference Equations and Dynamical Systems",0101,Pure Mathematics,01,Mathematical Sciences,"Mathematical Sciences/Pure Mathematics/Ordinary Differential Equations, Difference Equations and Dynamical Systems"
010110,Partial Differential Equations,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Partial Differential Equations
010111,Real and Complex Functions (incl. Several Variables),0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Real and Complex Functions (incl. Several Variables)
010112,Topology,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Topology
010199,Pure Mathematics not elsewhere classified,0101,Pure Mathematics,01,Mathematical Sciences,Mathematical Sciences/Pure Mathematics/Pure Mathematics not elsewhere classified
010201,Approximation Theory and Asymptotic Methods,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Approximation Theory and Asymptotic Methods
010202,Biological Mathematics,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Biological Mathematics
010203,"Calculus of Variations, Systems Theory and Control Theory",0102,Applied Mathematics,01,Mathematical Sciences,"Mathematical Sciences/Applied Mathematics/Calculus of Variations, Systems Theory and Control Theory"
010204,Dynamical Systems in Applications,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Dynamical Systems in Applications
010205,Financial Mathematics,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Financial Mathematics
010206,Operations Research,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Operations Research
010207,Theoretical and Applied Mechanics,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Theoretical and Applied Mechanics
010299,Applied Mathematics not elsewhere classified,0102,Applied Mathematics,01,Mathematical Sciences,Mathematical Sciences/Applied Mathematics/Applied Mathematics not elsewhere classified
010301,Numerical Analysis,0103,Numerical and Computational Mathematics,01,Mathematical Sciences,Mathematical Sciences/Numerical and Computational Mathematics/Numerical Analysis
010302,Numerical Solution of Differential and Integral Equations,0103,Numerical and Computational Mathematics,01,Mathematical Sciences,Mathematical Sciences/Numerical and Computational Mathematics/Numerical Solution of Differential and Integral Equations
010303,Optimisation,0103,Numerical and Computational Mathematics,01,Mathematical Sciences,Mathematical Sciences/Numerical and Computational Mathematics/Optimisation
010399,Numerical and Computational Mathematics not elsewhere classified,0103,Numerical and Computational Mathematics,01,Mathematical Sciences,Mathematical Sciences/Numerical and Computational Mathematics/Numerical and Computational Mathematics not elsewhere classified
010401,Applied Statistics,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Applied Statistics
010402,Biostatistics,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Biostatistics
010403,Forensic Statistics,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Forensic Statistics
010404,Probability Theory,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Probability Theory
010405,Statistical Theory,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Statistical Theory
010406,Stochastic Analysis and Modelling,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Stochastic Analysis and Modelling
010499,Statistics not elsewhere classified,0104,Statistics,01,Mathematical Sciences,Mathematical Sciences/Statistics/Statistics not elsewhere classified
010501,Algebraic Structures in Mathematical Physics,0105,Mathematical Physics,01,Mathematical Sciences,Mathematical Sciences/Mathematical Physics/Algebraic Structures in Mathematical Physics
010502,Integrable Systems (Classical and Quantum),0105,Mathematical Physics,01,Mathematical Sciences,Mathematical Sciences/Mathematical Physics/Integrable Systems (Classical and Quantum)
010503,"Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory",0105,Mathematical Physics,01,Mathematical Sciences,"Mathematical Sciences/Mathematical Physics/Mathematical Aspects of Classical Mechanics, Quantum Mechanics and Quantum Information Theory"
010504,Mathematical Aspects of General Relativity,0105,Mathematical Physics,01,Mathematical Sciences,Mathematical Sciences/Mathematical Physics/Mathematical Aspects of General Relativity
010505,"Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory",0105,Mathematical Physics,01,Mathematical Sciences,"Mathematical Sciences/Mathematical Physics/Mathematical Aspects of Quantum and Conformal Field Theory, Quantum Gravity and String Theory"
010506,"Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter",0105,Mathematical Physics,01,Mathematical Sciences,"Mathematical Sciences/Mathematical Physics/Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter"
010599,Mathematical Physics not elsewhere classified,0105,Mathematical Physics,01,Mathematical Sciences,Mathematical Sciences/Mathematical Physics/Mathematical Physics not elsewhere classified
019999,Mathematical Sciences not elsewhere classified,0199,Other Mathematical Sciences,01,Mathematical Sciences,Mathematical Sciences/Other Mathematical Sciences/Mathematical Sciences not elsewhere classified
020101,Astrobiology,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Astrobiology
020102,Astronomical and Space Instrumentation,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Astronomical and Space Instrumentation
020103,Cosmology and Extragalactic Astronomy,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Cosmology and Extragalactic Astronomy
020104,Galactic Astronomy,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Galactic Astronomy
020105,General Relativity and Gravitational Waves,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/General Relativity and Gravitational Waves
020106,High Energy Astrophysics; Cosmic Rays,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/High Energy Astrophysics; Cosmic Rays
020107,"Mesospheric, Ionospheric and Magnetospheric Physics",0201,Astronomical and Space Sciences,02,Physical Sciences,"Physical Sciences/Astronomical and Space Sciences/Mesospheric, Ionospheric and Magnetospheric Physics"
020108,Planetary Science (excl. Extraterrestrial Geology),0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Planetary Science (excl. Extraterrestrial Geology)
020109,Space and Solar Physics,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Space and Solar Physics
020110,Stellar Astronomy and Planetary Systems,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Stellar Astronomy and Planetary Systems
020199,Astronomical and Space Sciences not elsewhere classified,0201,Astronomical and Space Sciences,02,Physical Sciences,Physical Sciences/Astronomical and Space Sciences/Astronomical and Space Sciences not elsewhere classified
020201,Atomic and Molecular Physics,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",02,Physical Sciences,"Physical Sciences/Atomic, Molecular, Nuclear, Particle and Plasma Physics/Atomic and Molecular Physics"
020202,Nuclear Physics,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",02,Physical Sciences,"Physical Sciences/Atomic, Molecular, Nuclear, Particle and Plasma Physics/Nuclear Physics"
020203,Particle Physics,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",02,Physical Sciences,"Physical Sciences/Atomic, Molecular, Nuclear, Particle and Plasma Physics/Particle Physics"
020204,Plasma Physics; Fusion Plasmas; Electrical Discharges,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",02,Physical Sciences,"Physical Sciences/Atomic, Molecular, Nuclear, Particle and Plasma Physics/Plasma Physics; Fusion Plasmas; Electrical Discharges"
020299,"Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified",0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",02,Physical Sciences,"Physical Sciences/Atomic, Molecular, Nuclear, Particle and Plasma Physics/Atomic, Molecular, Nuclear, Particle and Plasma Physics not elsewhere classified"
020301,Acoustics and Acoustical Devices; Waves,0203,Classical Physics,02,Physical Sciences,Physical Sciences/Classical Physics/Acoustics and Acoustical Devices; Waves
