Version,Code,Description,Definition,Two_Digit_Code,Two_Digit_Description,Four_Digit_Code,Four_Digit_Description
2.0.0,100101,Management of gaseous waste from animal production (excl. greenhouse gases),Animal Production And Animal Primary Products/Environmentally sustainable animal production/Management of gaseous waste from animal production (excl. greenhouse gases),10,Animal Production And Animal Primary Products,100101,Environmentally sustainable animal production
2.0.0,100102,Management of liquid waste from animal production (excl. water),Animal Production And Animal Primary Products/Environmentally sustainable animal production/Management of liquid waste from animal production (excl. water),10,Animal Production And Animal Primary Products,100102,Environmentally sustainable animal production
2.0.0,100103,Management of solid waste from animal production,Animal Production And Animal Primary Products/Environmentally sustainable animal production/Management of solid waste from animal production,10,Animal Production And Animal Primary Products,100103,Environmentally sustainable animal production
2.0.0,100104,Management of water consumption by animal production,Animal Production And Animal Primary Products/Environmentally sustainable animal production/Management of water consumption by animal production,10,Animal Production And Animal Primary Products,100104,Environmentally sustainable animal production
2.0.0,100199,Environmentally sustainable animal production not elsewhere classified,Animal Production And Animal Primary Products/Environmentally sustainable animal production/Environmentally sustainable animal production not elsewhere classified,10,Animal Production And Animal Primary Products,100199,Environmentally sustainable animal production
2.0.0,100201,Aquaculture crustaceans (excl. rock lobster and prawns),Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture crustaceans (excl. rock lobster and prawns),10,Animal Production And Animal Primary Products,100201,Fisheries - aquaculture
2.0.0,100202,Aquaculture fin fish (excl. tuna),Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture fin fish (excl. tuna),10,Animal Production And Animal Primary Products,100202,Fisheries - aquaculture
2.0.0,100203,Aquaculture molluscs (excl. oysters),Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture molluscs (excl. oysters),10,Animal Production And Animal Primary Products,100203,Fisheries - aquaculture
2.0.0,100204,Aquaculture oysters,Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture oysters,10,Animal Production And Animal Primary Products,100204,Fisheries - aquaculture
2.0.0,100205,Aquaculture prawns,Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture prawns,10,Animal Production And Animal Primary Products,100205,Fisheries - aquaculture
2.0.0,100206,Aquaculture rock lobster,Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture rock lobster,10,Animal Production And Animal Primary Products,100206,Fisheries - aquaculture
2.0.0,100207,Aquaculture tuna,Animal Production And Animal Primary Products/Fisheries - aquaculture/Aquaculture tuna,10,Animal Production And Animal Primary Products,100207,Fisheries - aquaculture
2.0.0,100299,Fisheries - aquaculture not elsewhere classified,Animal Production And Animal Primary Products/Fisheries - aquaculture/Fisheries - aquaculture not elsewhere classified,10,Animal Production And Animal Primary Products,100299,Fisheries - aquaculture
2.0.0,100301,Fisheries - recreational freshwater,Animal Production And Animal Primary Products/Fisheries - wild caught/Fisheries - recreational freshwater,10,Animal Production And Animal Primary Products,100301,Fisheries - wild caught
2.0.0,100302,Fisheries - recreational marine,Animal Production And Animal Primary Products/Fisheries - wild caught/Fisheries - recreational marine,10,Animal Production And Animal Primary Products,100302,Fisheries - wild caught
2.0.0,100303,Wild caught crustaceans (excl. rock lobster and prawns),Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught crustaceans (excl. rock lobster and prawns),10,Animal Production And Animal Primary Products,100303,Fisheries - wild caught
2.0.0,100304,Wild caught edible molluscs,Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught edible molluscs,10,Animal Production And Animal Primary Products,100304,Fisheries - wild caught
2.0.0,100305,Wild caught fin fish (excl. tuna),Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught fin fish (excl. tuna),10,Animal Production And Animal Primary Products,100305,Fisheries - wild caught
2.0.0,100306,Wild caught prawns,Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught prawns,10,Animal Production And Animal Primary Products,100306,Fisheries - wild caught
2.0.0,100307,Wild caught rock lobster,Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught rock lobster,10,Animal Production And Animal Primary Products,100307,Fisheries - wild caught
2.0.0,100308,Wild caught tuna,Animal Production And Animal Primary Products/Fisheries - wild caught/Wild caught tuna,10,Animal Production And Animal Primary Products,100308,Fisheries - wild caught
2.0.0,100399,Fisheries - wild caught not elsewhere classified,Animal Production And Animal Primary Products/Fisheries - wild caught/Fisheries - wild caught not elsewhere classified,10,Animal Production And Animal Primary Products,100399,Fisheries - wild caught
2.0.0,100401,Beef cattle,Animal Production And Animal Primary Products/Livestock raising/Beef cattle,10,Animal Production And Animal Primary Products,100401,Livestock raising
2.0.0,100402,Dairy cattle,Animal Production And Animal Primary Products/Livestock raising/Dairy cattle,10,Animal Production And Animal Primary Products,100402,Livestock raising
2.0.0,100403,Deer,Animal Production And Animal Primary Products/Livestock raising/Deer,10,Animal Production And Animal Primary Products,100403,Livestock raising
2.0.0,100404,"Game livestock (e.g. kangaroos, wallabies, camels, buffaloes)","Animal Production And Animal Primary Products/Livestock raising/Game livestock (e.g. kangaroos, wallabies, camels, buffaloes)",10,Animal Production And Animal Primary Products,100404,Livestock raising
2.0.0,100405,Goats,Animal Production And Animal Primary Products/Livestock raising/Goats,10,Animal Production And Animal Primary Products,100405,Livestock raising
2.0.0,100406,Horses,Animal Production And Animal Primary Products/Livestock raising/Horses,10,Animal Production And Animal Primary Products,100406,Livestock raising
2.0.0,100407,"Insects, Livestock raising",Animal Production And Animal Primary Products/Livestock raising/Insects,10,Animal Production And Animal Primary Products,100407,Livestock raising
