Version,Code,Description,Definition
1.0,01,Northland Region,NA
1.0,02,Auckland Region,NA
1.0,03,Waikato Region,NA
1.0,04,Bay of Plenty Region,NA
1.0,05,Gisborne Region,NA
1.0,06,Hawke's Bay Region,NA
1.0,07,Taranaki Region,NA
1.0,08,Manawatu-Whanganui Region,NA
1.0,09,Wellington Region,NA
1.0,12,West Coast Region,NA
1.0,13,Canterbury Region,NA
1.0,14,Otago Region,NA
1.0,15,Southland Region,NA
1.0,16,Tasman Region,NA
1.0,17,Nelson Region,NA
1.0,18,Marlborough Region,NA
1.0,81,Tokelau,NA
1.0,82,Niue,NA
1.0,83,Cook Islands,NA
1.0,84,Antarctica,NA
1.0,99,Area Outside Region,NA
