Version,Code,Description,Definition,Three_Digit_Code,Three_Digit_Description
1.0,001001,Bioprotection Aotearoa: Anticipating contemporary evolution in biosecurity threats and classical biocontrol systems,Bioprotection Aotearoa: Anticipating contemporary evolution in biosecurity threats and classical biocontrol systems,001,Bioprotection Aotearoa
1.0,001002,Bioprotection Aotearoa: Pathogen virulence and plant defence,Bioprotection Aotearoa: Pathogen virulence and plant defence,001,Bioprotection Aotearoa
1.0,001003,Bioprotection Aotearoa: Enhancing microbial-based biological control,Bioprotection Aotearoa: Enhancing microbial-based biological control,001,Bioprotection Aotearoa
1.0,001004,Bioprotection Aotearoa: Achieving protection in complex and dynamic systems,Bioprotection Aotearoa: Achieving protection in complex and dynamic systems,001,Bioprotection Aotearoa
1.0,001005,"Bioprotection Aotearoa: Titirangi – defining healthy, productive ecosystems","Bioprotection Aotearoa: Titirangi – defining healthy, productive ecosystems",001,Bioprotection Aotearoa
1.0,001006,Bioprotection Aotearoa: Poutokomanawa – defending against pathogens and pests,Bioprotection Aotearoa: Poutokomanawa – defending against pathogens and pests,001,Bioprotection Aotearoa
1.0,001007,Bioprotection Aotearoa: Nuku-a-rangi – designing resistant and resilient productive ecosystems,Bioprotection Aotearoa: Nuku-a-rangi – designing resistant and resilient productive ecosystems,001,Bioprotection Aotearoa
1.0,002001,Brain Research New Zealand: Neurodiscovery and disease mechanisms,Brain Research New Zealand: Neurodiscovery and disease mechanisms,002,Brain Research New Zealand
1.0,002002,Brain Research New Zealand: Neurobiomarkers and disease indicators,Brain Research New Zealand: Neurobiomarkers and disease indicators,002,Brain Research New Zealand
1.0,002003,Brain Research New Zealand: Harnessing and directing neuroplasticity,Brain Research New Zealand: Harnessing and directing neuroplasticity,002,Brain Research New Zealand
1.0,002004,"Brain Research New Zealand: Prevention, intervention and delay","Brain Research New Zealand: Prevention, intervention and delay",002,Brain Research New Zealand
1.0,003001,The Dodd Walls Centre for Photonic and Quantum Technologies: Photonic sensing and imaging,The Dodd Walls Centre for Photonic and Quantum Technologies: Photonic sensing and imaging,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003002,The Dodd Walls Centre for Photonic and Quantum Technologies: Photonic sources and components,The Dodd Walls Centre for Photonic and Quantum Technologies: Photonic sources and components,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003003,The Dodd Walls Centre for Photonic and Quantum Technologies: Quantum fluids and gases,The Dodd Walls Centre for Photonic and Quantum Technologies: Quantum fluids and gases,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003004,The Dodd Walls Centre for Photonic and Quantum Technologies: Quantum manipulation and information,The Dodd Walls Centre for Photonic and Quantum Technologies: Quantum manipulation and information,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003005,The Dodd Walls Centre for Photonic and Quantum Technologies: Emulating solid-state and quantum physics with fibre cavities,The Dodd Walls Centre for Photonic and Quantum Technologies: Emulating solid-state and quantum physics with fibre cavities,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003006,The Dodd Walls Centre for Photonic and Quantum Technologies: Enabling quantum simulations with rare earths in optical tweezer,The Dodd Walls Centre for Photonic and Quantum Technologies: Enabling quantum simulations with rare earths in optical tweezer,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003007,The Dodd Walls Centre for Photonic and Quantum Technologies: Experimental atomtronics,The Dodd Walls Centre for Photonic and Quantum Technologies: Experimental atomtronics,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003008,The Dodd Walls Centre for Photonic and Quantum Technologies: Topological materials and coupled superfluids,The Dodd Walls Centre for Photonic and Quantum Technologies: Topological materials and coupled superfluids,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,003009,The Dodd Walls Centre for Photonic and Quantum Technologies: Nonlinear dynamics at the quantum limit,The Dodd Walls Centre for Photonic and Quantum Technologies: Nonlinear dynamics at the quantum limit,003,The Dodd Walls Centre for Photonic and Quantum Technologies
1.0,004001,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Materials for high-value technologies,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Materials for high-value technologies,004,The MacDiarmid Institute for Advanced Materials and Nanotechnology
1.0,004002,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Materials for energy capture and utilisation,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Materials for energy capture and utilisation,004,The MacDiarmid Institute for Advanced Materials and Nanotechnology
1.0,004003,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Functional nanostructures,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Functional nanostructures,004,The MacDiarmid Institute for Advanced Materials and Nanotechnology
1.0,004004,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Catalytic architectures – towards cero carbon,The MacDiarmid Institute for Advanced Materials and Nanotechnology: Catalytic architectures – towards cero carbon,004,The MacDiarmid Institute for Advanced Materials and Nanotechnology
