Code,Description,Definition
01,Match Funding,Funding must be matched by award(s) from another source
02,Real Costs Only,Only payable for costs directly incurred
03,Research Only,Cannot be used for administrative purposes
04,No Capital Purchases,Cannot be used for capital investment
05,Salary Only,Can only be used for salaries
06,No Salary for Non-NZ Based Investigators,Can only be used for salaries for NZ based staff
07,Infrastructure Only,Can only be used for infrastructure purchase or maintenance
08,Restricted infrastructure use,Only a limited proportion (<5%) can be used for infrastructure purchase or maintenance
09,Non RS&I Only,Cannot be used for RS&I activity
10,Flexible,"May be used for RS&I activity, or for non RS&I activity"
99,Other,NA
