Version,Code,Description,Definition,Numeric_Code
4217:2015,AFN,Afghani,This code is for the Afghani used in Afghanistan,971
4217:2015,EUR,Euro,"This code is for the Euro used in Åland Islands, Andorra, Austria, Belgium, Cyprus, Estonia, European Union, Finland, France, French Guiana, French Southern Territories (The), Germany, Greece, Guadeloupe, Holy See (The), Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Martinique, Mayotte, Monaco, Montenegro, Netherlands (The), Portugal, Réunion, Saint Barthélemy, Saint Martin (French Part), Saint Pierre And Miquelon, San Marino, Slovakia, Slovenia, Spain",978
4217:2015,ALL,Lek,This code is for the Lek used in Albania,008
4217:2015,DZD,Algerian Dinar,This code is for the Algerian Dinar used in Algeria,012
4217:2015,USD,US Dollar,"This code is for the US Dollar used in American Samoa, Bonaire, Sint Eustatius And Saba, British Indian Ocean Territory (The), Ecuador, El Salvador, Guam, Haiti, Marshall Islands (The), Micronesia (Federated States Of), Northern Mariana Islands (The), Palau, Panama, Puerto Rico, Timor-Leste, Turks And Caicos Islands (The), United States Minor Outlying Islands (The), United States Of America (The), Virgin Islands (British), Virgin Islands (U.s.)",840
4217:2015,AOA,Kwanza,This code is for the Kwanza used in Angola,973
4217:2015,XCD,East Caribbean Dollar,This code is for East Caribbean Dollar,951
4217:2015,ARS,Argentine Peso,This code is for the Argentine Peso used in Argentina,032
4217:2015,AMD,Armenian Dram,This code is for the Armenian Dram used in Armenia,051
4217:2015,AWG,Aruban Florin,This code is for the Aruban Florin used in Aruba,533
4217:2015,AUD,Australian Dollar,"This code is for the Australian Dollar used in Australia, Christmas Island, Cocos (Keeling) Islands (The), Heard Island And Mcdonald Islands, Kiribati, Nauru, Norfolk Island, Tuvalu",036
4217:2015,AZN,Azerbaijan Manat,This code is for the Azerbaijan Manat used in Azerbaijan,944
4217:2015,BSD,Bahamian Dollar,This code is for the Bahamian Dollar used in Bahamas (The),044
4217:2015,BHD,Bahraini Dinar,This code is for the Bahraini Dinar used in Bahrain,048
4217:2015,BDT,Taka,This code is for the Taka used in Bangladesh,050
4217:2015,BBD,Barbados Dollar,This code is for the Barbados Dollar used in Barbados,052
