Version,Code,Description,Definition
639-2,aar,Afar,
639-2,abk,Abkhazian,
639-2,ace,Achinese,
639-2,ach,Acoli,
639-2,ada,Adangme,
639-2,ady,Adyghe; Adygei,
639-2,afa,Afro-Asiatic languages,
639-2,afh,Afrihili,
639-2,afr,Afrikaans,
639-2,ain,Ainu,
639-2,aka,Akan,
639-2,akk,Akkadian,
639-2,alb,Albanian,
639-2,ale,Aleut,
639-2,alg,Algonquian languages,
639-2,alt,Southern Altai,
639-2,amh,Amharic,
639-2,ang,"English, Old (ca.450-1100)",
639-2,anp,Angika,
639-2,apa,Apache languages,
639-2,ara,Arabic,
639-2,arc,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),
639-2,arg,Aragonese,
639-2,arm,Armenian,
639-2,arn,Mapudungun; Mapuche,
639-2,arp,Arapaho,
639-2,art,Artificial languages,
639-2,arw,Arawak,
639-2,asm,Assamese,
639-2,ast,Asturian; Bable; Leonese; Asturleonese,
639-2,ath,Athapascan languages,
639-2,aus,Australian languages,
639-2,ava,Avaric,
639-2,ave,Avestan,
639-2,awa,Awadhi,
639-2,aym,Aymara,
639-2,aze,Azerbaijani,
639-2,bad,Banda languages,
639-2,bai,Bamileke languages,
639-2,bak,Bashkir,
639-2,bal,Baluchi,
639-2,bam,Bambara,
639-2,ban,Balinese,
639-2,baq,Basque,
639-2,bas,Basa,
639-2,bat,Baltic languages,
639-2,bej,Beja; Bedawiyet,
639-2,bel,Belarusian,
639-2,bem,Bemba,
639-2,ben,Bengali,
639-2,ber,Berber languages,
639-2,bho,Bhojpuri,
639-2,bih,Bihari languages,
639-2,bik,Bikol,
639-2,bin,Bini; Edo,
639-2,bis,Bislama,
639-2,bla,Siksika,
639-2,bnt,Bantu (Other),
639-2,bos,Bosnian,
639-2,bra,Braj,
639-2,bre,Breton,
639-2,btk,Batak languages,
639-2,bua,Buriat,
639-2,bug,Buginese,
639-2,bul,Bulgarian,
639-2,bur,Burmese,
639-2,byn,Blin; Bilin,
639-2,cad,Caddo,
639-2,cai,Central American Indian languages,
639-2,car,Galibi Carib,
639-2,cat,Catalan; Valencian,
639-2,cau,Caucasian languages,
639-2,ceb,Cebuano,
639-2,cel,Celtic languages,
639-2,cha,Chamorro,
639-2,chb,Chibcha,
639-2,che,Chechen,
639-2,chg,Chagatai,
639-2,chi,Chinese,
639-2,chk,Chuukese,
639-2,chm,Mari,
639-2,chn,Chinook jargon,
639-2,cho,Choctaw,
639-2,chp,Chipewyan; Dene Suline,
639-2,chr,Cherokee,
639-2,chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,
639-2,chv,Chuvash,
639-2,chy,Cheyenne,
639-2,cmc,Chamic languages,
639-2,cnr,Montenegrin,
639-2,cop,Coptic,
639-2,cor,Cornish,
639-2,cos,Corsican,
639-2,cpe,"Creoles and pidgins, English based",
639-2,cpf,"Creoles and pidgins, French-based ",
639-2,cpp,"Creoles and pidgins, Portuguese-based ",
639-2,cre,Cree,
639-2,crh,Crimean Tatar; Crimean Turkish,
639-2,crp,Creoles and pidgins ,
639-2,csb,Kashubian,
639-2,cus,Cushitic languages,
639-2,cze,Czech,
639-2,dak,Dakota,
639-2,dan,Danish,
639-2,dar,Dargwa,
639-2,day,Land Dayak languages,
639-2,del,Delaware,
639-2,den,Slave (Athapascan),
639-2,dgr,Dogrib,
639-2,din,Dinka,
639-2,div,Divehi; Dhivehi; Maldivian,
639-2,doi,Dogri,
639-2,dra,Dravidian languages,
639-2,dsb,Lower Sorbian,
639-2,dua,Duala,
639-2,dum,"Dutch, Middle (ca.1050-1350)",
639-2,dut,Dutch; Flemish,
639-2,dyu,Dyula,
639-2,dzo,Dzongkha,
639-2,efi,Efik,
639-2,egy,Egyptian (Ancient),
639-2,eka,Ekajuk,
639-2,elx,Elamite,
639-2,eng,English,
639-2,enm,"English, Middle (1100-1500)",
639-2,epo,Esperanto,
639-2,est,Estonian,
639-2,ewe,Ewe,
639-2,ewo,Ewondo,
639-2,fan,Fang,
639-2,fao,Faroese,
639-2,fat,Fanti,
639-2,fij,Fijian,
639-2,fil,Filipino; Pilipino,
639-2,fin,Finnish,
639-2,fiu,Finno-Ugrian languages,
639-2,fon,Fon,
639-2,fre,French,
639-2,frm,"French, Middle (ca.1400-1600)",
639-2,fro,"French, Old (842-ca.1400)",
639-2,frr,Northern Frisian,
639-2,frs,Eastern Frisian,
639-2,fry,Western Frisian,
639-2,ful,Fulah,
639-2,fur,Friulian,
639-2,gaa,Ga,
639-2,gay,Gayo,
639-2,gba,Gbaya,
639-2,gem,Germanic languages,
639-2,geo,Georgian,
639-2,ger,German,
639-2,gez,Geez,
639-2,gil,Gilbertese,
639-2,gla,Gaelic; Scottish Gaelic,
639-2,gle,Irish,
639-2,glg,Galician,
639-2,glv,Manx,
639-2,gmh,"German, Middle High (ca.1050-1500)",
639-2,goh,"German, Old High (ca.750-1050)",
639-2,gon,Gondi,
639-2,gor,Gorontalo,
639-2,got,Gothic,
639-2,grb,Grebo,
639-2,grc,"Greek, Ancient (to 1453)",
639-2,gre,"Greek, Modern (1453-)",
639-2,grn,Guarani,
639-2,gsw,Swiss German; Alemannic; Alsatian,
639-2,guj,Gujarati,
639-2,gwi,Gwich'in,
639-2,hai,Haida,
639-2,hat,Haitian; Haitian Creole,
639-2,hau,Hausa,
639-2,haw,Hawaiian,
639-2,heb,Hebrew,
639-2,her,Herero,
639-2,hil,Hiligaynon,
639-2,him,Himachali languages; Western Pahari languages,
639-2,hin,Hindi,
639-2,hit,Hittite,
639-2,hmn,Hmong; Mong,
639-2,hmo,Hiri Motu,
639-2,hrv,Croatian,
639-2,hsb,Upper Sorbian,
639-2,hun,Hungarian,
639-2,hup,Hupa,
639-2,iba,Iban,
639-2,ibo,Igbo,
639-2,ice,Icelandic,
639-2,ido,Ido,
639-2,iii,Sichuan Yi; Nuosu,
639-2,ijo,Ijo languages,
639-2,iku,Inuktitut,
639-2,ile,Interlingue; Occidental,
639-2,ilo,Iloko,
639-2,ina,Interlingua (International Auxiliary Language Association),
639-2,inc,Indic languages,
639-2,ind,Indonesian,
639-2,ine,Indo-European languages,
639-2,inh,Ingush,
639-2,ipk,Inupiaq,
639-2,ira,Iranian languages,
639-2,iro,Iroquoian languages,
639-2,ita,Italian,
639-2,jav,Javanese,
639-2,jbo,Lojban,
639-2,jpn,Japanese,
639-2,jpr,Judeo-Persian,
639-2,jrb,Judeo-Arabic,
639-2,kaa,Kara-Kalpak,
639-2,kab,Kabyle,
639-2,kac,Kachin; Jingpho,
639-2,kal,Kalaallisut; Greenlandic,
639-2,kam,Kamba,
639-2,kan,Kannada,
639-2,kar,Karen languages,
639-2,kas,Kashmiri,
639-2,kau,Kanuri,
639-2,kaw,Kawi,
639-2,kaz,Kazakh,
639-2,kbd,Kabardian,
639-2,kha,Khasi,
639-2,khi,Khoisan languages,
639-2,khm,Central Khmer,
639-2,kho,Khotanese; Sakan,
639-2,kik,Kikuyu; Gikuyu,
639-2,kin,Kinyarwanda,
639-2,kir,Kirghiz; Kyrgyz,
639-2,kmb,Kimbundu,
639-2,kok,Konkani,
639-2,kom,Komi,
639-2,kon,Kongo,
639-2,kor,Korean,
639-2,kos,Kosraean,
639-2,kpe,Kpelle,
639-2,krc,Karachay-Balkar,
639-2,krl,Karelian,
639-2,kro,Kru languages,
639-2,kru,Kurukh,
639-2,kua,Kuanyama; Kwanyama,
639-2,kum,Kumyk,
639-2,kur,Kurdish,
639-2,kut,Kutenai,
639-2,lad,Ladino,
639-2,lah,Lahnda,
639-2,lam,Lamba,
639-2,lao,Lao,
639-2,lat,Latin,
639-2,lav,Latvian,
639-2,lez,Lezghian,
639-2,lim,Limburgan; Limburger; Limburgish,
639-2,lin,Lingala,
639-2,lit,Lithuanian,
639-2,lol,Mongo,
639-2,loz,Lozi,
639-2,ltz,Luxembourgish; Letzeburgesch,
639-2,lua,Luba-Lulua,
639-2,lub,Luba-Katanga,
639-2,lug,Ganda,
639-2,lui,Luiseno,
639-2,lun,Lunda,
639-2,luo,Luo (Kenya and Tanzania),
639-2,lus,Lushai,
639-2,mac,Macedonian,
639-2,mad,Madurese,
639-2,mag,Magahi,
639-2,mah,Marshallese,
639-2,mai,Maithili,
639-2,mak,Makasar,
639-2,mal,Malayalam,
639-2,man,Mandingo,
639-2,mao,Māori,
639-2,map,Austronesian languages,
639-2,mar,Marathi,
639-2,mas,Masai,
639-2,may,Malay,
639-2,mdf,Moksha,
639-2,mdr,Mandar,
639-2,men,Mende,
639-2,mga,"Irish, Middle (900-1200)",
639-2,mic,Mi'kmaq; Micmac,
639-2,min,Minangkabau,
639-2,mis,Uncoded languages,
639-2,mkh,Mon-Khmer languages,
639-2,mlg,Malagasy,
639-2,mlt,Maltese,
639-2,mnc,Manchu,
639-2,mni,Manipuri,
639-2,mno,Manobo languages,
639-2,moh,Mohawk,
639-2,mon,Mongolian,
639-2,mos,Mossi,
639-2,mul,Multiple languages,
639-2,mun,Munda languages,
639-2,mus,Creek,
639-2,mwl,Mirandese,
639-2,mwr,Marwari,
639-2,myn,Mayan languages,
639-2,myv,Erzya,
639-2,nah,Nahuatl languages,
639-2,nai,North American Indian languages,
639-2,nap,Neapolitan,
639-2,nau,Nauru,
639-2,nav,Navajo; Navaho,
639-2,nbl,"Ndebele, South; South Ndebele",
639-2,nde,"Ndebele, North; North Ndebele",
639-2,ndo,Ndonga,
639-2,nds,"Low German; Low Saxon; German, Low; Saxon, Low",
639-2,nep,Nepali,
639-2,new,Nepal Bhasa; Newari,
639-2,nia,Nias,
639-2,nic,Niger-Kordofanian languages,
639-2,niu,Niuean,
639-2,nno,"Norwegian Nynorsk; Nynorsk, Norwegian",
639-2,nob,"Bokmål, Norwegian; Norwegian Bokmål",
639-2,nog,Nogai,
639-2,non,"Norse, Old",
639-2,nor,Norwegian,
639-2,nqo,N'Ko,
639-2,nso,Pedi; Sepedi; Northern Sotho,
639-2,nub,Nubian languages,
