Version,Code,Description,Definition,Three_Digit_Code,Three_Digit_Description
1.0,00101,A Better Start: Obesity,A Better Start: Obesity,001,A Better Start
1.0,00102,A Better Start: Literacy,A Better Start: Literacy,001,A Better Start
1.0,00103,A Better Start: Big Data,A Better Start: Big Data,001,A Better Start
1.0,00104,A Better Start: Youth Mental Health,A Better Start: Youth Mental Health,001,A Better Start
1.0,00105,A Better Start: Māori Research,A Better Start: Māori Research,001,A Better Start
1.0,00201,Ageing Well: Enabling independence and autonomy,Ageing Well: Enabling independence and autonomy,002,Ageing Well
1.0,00202,Ageing Well: Ensuring a meaningful life through social integration and engagement,Ageing Well: Ensuring a meaningful life through social integration and engagement,002,Ageing Well
1.0,00203,Ageing Well: Recognising at a societal level the value of ongoing contributions of knowledge and experience of older people,Ageing Well: Recognising at a societal level the value of ongoing contributions of knowledge and experience of older people,002,Ageing Well
1.0,00204,Ageing Well: Reducing disability,Ageing Well: Reducing disability,002,Ageing Well
1.0,00205,Ageing Well: Developing age-friendly environments,Ageing Well: Developing age-friendly environments,002,Ageing Well
1.0,00301,"Building Better Homes, Towns and Cities: Transforming Homes, Towns and Cities","Building Better Homes, Towns and Cities: Transforming Homes, Towns and Cities",003,"Building Better Homes, Towns and Cities"
1.0,00302,"Building Better Homes, Towns and Cities: Next Generation Information for Better Outcomes","Building Better Homes, Towns and Cities: Next Generation Information for Better Outcomes",003,"Building Better Homes, Towns and Cities"
1.0,00303,"Building Better Homes, Towns and Cities: Supporting Success in Regional Settlements","Building Better Homes, Towns and Cities: Supporting Success in Regional Settlements",003,"Building Better Homes, Towns and Cities"
1.0,00304,"Building Better Homes, Towns and Cities: Shaping Places Future Neighbourhoods","Building Better Homes, Towns and Cities: Shaping Places Future Neighbourhoods",003,"Building Better Homes, Towns and Cities"
1.0,00305,"Building Better Homes, Towns and Cities: Evolving to Enhance Mauri","Building Better Homes, Towns and Cities: Evolving to Enhance Mauri",003,"Building Better Homes, Towns and Cities"
1.0,00306,"Building Better Homes, Towns and Cities: Transforming the Building Industry","Building Better Homes, Towns and Cities: Transforming the Building Industry",003,"Building Better Homes, Towns and Cities"
1.0,00401,Healthier Lives: Cancer,Healthier Lives: Cancer,004,Healthier Lives
1.0,00402,Healthier Lives: Cardiovascular disease,Healthier Lives: Cardiovascular disease,004,Healthier Lives
1.0,00403,Healthier Lives: Diabetes,Healthier Lives: Diabetes,004,Healthier Lives
