Version,Code,Description,Definition
1.0.0,00,No Qualification,
1.0.0,01,Level 1 Certificate,
1.0.0,02,Level 2 Certificate,
1.0.0,03,Level 3 Certificate,
1.0.0,04,Level 4 Certificate,
1.0.0,05,Level 5 Diploma/Certificate,
1.0.0,06,"Level 6 Graduate Certificate, Level 6 Diploma/Certificate",
1.0.0,07,"Bachelor Degree, Level 7 Graduate Diploma/Certificate, Level 7 Diploma/ Certificate",
1.0.0,08,"Postgraduate Diploma/Certificate, Bachelor Honours",
1.0.0,09,Masters Degree,
1.0.0,10,Doctorate Degree,
1.0.0,23,Overseas Secondary School Qualification,
1.0.0,94,Don't Know,
1.0.0,95,Refused to Answer,
1.0.0,96,Repeated Value,
1.0.0,97,Response Unidentifiable,
1.0.0,98,Response Outside Scope,
1.0.0,99,Not Stated,
