Version	Code	Description	Definition	Two_Digit_Code	Two_Digit_Description	Four_Digit_Code	Four_Digit_Description
1.0.0	010101	Algebra and Number Theory	Mathematical Sciences/Pure Mathematics/Algebra and Number Theory	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010102	Algebraic and Differential Geometry	Mathematical Sciences/Pure Mathematics/Algebraic and Differential Geometry	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010103	Category Theory, K Theory, Homological Algebra	Mathematical Sciences/Pure Mathematics/Category Theory, K Theory, Homological Algebra	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010104	Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)	Mathematical Sciences/Pure Mathematics/Combinatorics and Discrete Mathematics (excl. Physical Combinatorics)	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010105	Group Theory and Generalisations	Mathematical Sciences/Pure Mathematics/Group Theory and Generalisations	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010106	Lie Groups, Harmonic and Fourier Analysis	Mathematical Sciences/Pure Mathematics/Lie Groups, Harmonic and Fourier Analysis	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010107	Mathematical Logic, Set Theory, Lattices and Universal Algebra	Mathematical Sciences/Pure Mathematics/Mathematical Logic, Set Theory, Lattices and Universal Algebra	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010108	Operator Algebras and Functional Analysis	Mathematical Sciences/Pure Mathematics/Operator Algebras and Functional Analysis	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010109	Ordinary Differential Equations, Difference Equations and Dynamical Systems	Mathematical Sciences/Pure Mathematics/Ordinary Differential Equations, Difference Equations and Dynamical Systems	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010110	Partial Differential Equations	Mathematical Sciences/Pure Mathematics/Partial Differential Equations	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010111	Real and Complex Functions (incl. Several Variables)	Mathematical Sciences/Pure Mathematics/Real and Complex Functions (incl. Several Variables)	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010112	Topology	Mathematical Sciences/Pure Mathematics/Topology	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010199	Pure Mathematics not elsewhere classified	Mathematical Sciences/Pure Mathematics/Pure Mathematics not elsewhere classified	01	Mathematical Sciences	0101	Pure Mathematics
1.0.0	010201	Approximation Theory and Asymptotic Methods	Mathematical Sciences/Applied Mathematics/Approximation Theory and Asymptotic Methods	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010202	Biological Mathematics	Mathematical Sciences/Applied Mathematics/Biological Mathematics	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010203	Calculus of Variations, Systems Theory and Control Theory	Mathematical Sciences/Applied Mathematics/Calculus of Variations, Systems Theory and Control Theory	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010204	Dynamical Systems in Applications	Mathematical Sciences/Applied Mathematics/Dynamical Systems in Applications	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010205	Financial Mathematics	Mathematical Sciences/Applied Mathematics/Financial Mathematics	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010206	Operations Research	Mathematical Sciences/Applied Mathematics/Operations Research	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010207	Theoretical and Applied Mechanics	Mathematical Sciences/Applied Mathematics/Theoretical and Applied Mechanics	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010299	Applied Mathematics not elsewhere classified	Mathematical Sciences/Applied Mathematics/Applied Mathematics not elsewhere classified	01	Mathematical Sciences	0102	Applied Mathematics
1.0.0	010301	Numerical Analysis	Mathematical Sciences/Numerical and Computational Mathematics/Numerical Analysis	01	Mathematical Sciences	0103	Numerical and Computational Mathematics
1.0.0	010302	Numerical Solution of Differential and Integral Equations	Mathematical Sciences/Numerical and Computational Mathematics/Numerical Solution of Differential and Integral Equations	01	Mathematical Sciences	0103	Numerical and Computational Mathematics
1.0.0	010303	Optimisation	Mathematical Sciences/Numerical and Computational Mathematics/Optimisation	01	Mathematical Sciences	0103	Numerical and Computational Mathematics
1.0.0	010399	Numerical and Computational Mathematics not elsewhere classified	Mathematical Sciences/Numerical and Computational Mathematics/Numerical and Computational Mathematics not elsewhere classified	01	Mathematical Sciences	0103	Numerical and Computational Mathematics
1.0.0	010401	Applied Statistics	Mathematical Sciences/Statistics/Applied Statistics	01	Mathematical Sciences	0104	Statistics
1.0.0	010402	Biostatistics	Mathematical Sciences/Statistics/Biostatistics	01	Mathematical Sciences	0104	Statistics
1.0.0	010403	Forensic Statistics	Mathematical Sciences/Statistics/Forensic Statistics	01	Mathematical Sciences	0104	Statistics
1.0.0	010404	Probability Theory	Mathematical Sciences/Statistics/Probability Theory	01	Mathematical Sciences	0104	Statistics
1.0.0	010405	Statistical Theory	Mathematical Sciences/Statistics/Statistical Theory	01	Mathematical Sciences	0104	Statistics
