Version	Code	Description	Definition	Two_Digit_Code	Two_Digit_Description	Four_Digit_Code	Four_Digit_Description
1.0.0	810101	Air Force	Defence/Defence/Air Force	81	Defence	8101	Defence
1.0.0	810102	Army	Defence/Defence/Army	81	Defence	8101	Defence
1.0.0	810103	Command, Control and Communications	Defence/Defence/Command, Control and Communications	81	Defence	8101	Defence
1.0.0	810104	Emerging Defence Technologies	Defence/Defence/Emerging Defence Technologies	81	Defence	8101	Defence
1.0.0	810105	Intelligence	Defence/Defence/Intelligence	81	Defence	8101	Defence
1.0.0	810106	Logistics	Defence/Defence/Logistics	81	Defence	8101	Defence
1.0.0	810107	National Security	Defence/Defence/National Security	81	Defence	8101	Defence
1.0.0	810108	Navy	Defence/Defence/Navy	81	Defence	8101	Defence
1.0.0	810109	Personnel	Defence/Defence/Personnel	81	Defence	8101	Defence
1.0.0	810199	Defence not elsewhere classified	Defence/Defence/Defence not elsewhere classified	81	Defence	8101	Defence
1.0.0	820101	Hardwood Plantations	Plant Production and Plant Primary Products/Forestry/Hardwood Plantations	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820102	Harvesting and Transport of Forest Products	Plant Production and Plant Primary Products/Forestry/Harvesting and Transport of Forest Products	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820103	Integration of Farm and Forestry	Plant Production and Plant Primary Products/Forestry/Integration of Farm and Forestry	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820104	Native Forests	Plant Production and Plant Primary Products/Forestry/Native Forests	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820105	Softwood Plantations	Plant Production and Plant Primary Products/Forestry/Softwood Plantations	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820199	Forestry not elsewhere classified	Plant Production and Plant Primary Products/Forestry/Forestry not elsewhere classified	82	Plant Production and Plant Primary Products	8201	Forestry
1.0.0	820201	Almonds	Plant Production and Plant Primary Products/Horticultural Crops/Almonds	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820202	Berry Fruit (excl. Kiwifruit)	Plant Production and Plant Primary Products/Horticultural Crops/Berry Fruit (excl. Kiwifruit)	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820203	Citrus Fruit	Plant Production and Plant Primary Products/Horticultural Crops/Citrus Fruit	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820204	Hops	Plant Production and Plant Primary Products/Horticultural Crops/Hops	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820205	Kiwifruit	Plant Production and Plant Primary Products/Horticultural Crops/Kiwifruit	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820206	Macadamias	Plant Production and Plant Primary Products/Horticultural Crops/Macadamias	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820207	Mushrooms and Truffles	Plant Production and Plant Primary Products/Horticultural Crops/Mushrooms and Truffles	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820208	Olives	Plant Production and Plant Primary Products/Horticultural Crops/Olives	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820209	Ornamentals, Natives, Flowers and Nursery Plants	Plant Production and Plant Primary Products/Horticultural Crops/Ornamentals, Natives, Flowers and Nursery Plants	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820210	Pome Fruit, Pip Fruit	Plant Production and Plant Primary Products/Horticultural Crops/Pome Fruit, Pip Fruit	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820211	Stone Fruit	Plant Production and Plant Primary Products/Horticultural Crops/Stone Fruit	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820212	Table Grapes	Plant Production and Plant Primary Products/Horticultural Crops/Table Grapes	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820213	Tree Nuts (excl. Almonds and Macadamias)	Plant Production and Plant Primary Products/Horticultural Crops/Tree Nuts (excl. Almonds and Macadamias)	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820214	Tropical Fruit	Plant Production and Plant Primary Products/Horticultural Crops/Tropical Fruit	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820215	Vegetables	Plant Production and Plant Primary Products/Horticultural Crops/Vegetables	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820299	Horticultural Crops not elsewhere classified	Plant Production and Plant Primary Products/Horticultural Crops/Horticultural Crops not elsewhere classified	82	Plant Production and Plant Primary Products	8202	Horticultural Crops
1.0.0	820301	Cotton	Plant Production and Plant Primary Products/Industrial Crops/Cotton	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820302	Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)	Plant Production and Plant Primary Products/Industrial Crops/Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820303	Plant Extract Crops (e.g. Pyrethrum, Jojoba)	Plant Production and Plant Primary Products/Industrial Crops/Plant Extract Crops (e.g. Pyrethrum, Jojoba)	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820304	Sugar	Plant Production and Plant Primary Products/Industrial Crops/Sugar	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820305	Tobacco	Plant Production and Plant Primary Products/Industrial Crops/Tobacco	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820306	Wine Grapes	Plant Production and Plant Primary Products/Industrial Crops/Wine Grapes	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820399	Industrial Crops not elsewhere classified	Plant Production and Plant Primary Products/Industrial Crops/Industrial Crops not elsewhere classified	82	Plant Production and Plant Primary Products	8203	Industrial Crops
1.0.0	820401	Maize	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Maize	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820402	Rice	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Rice	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820403	Safflower Seed	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Safflower Seed	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820404	Sorghum	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Sorghum	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820405	Soybeans	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Soybeans	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820499	Summer Grains and Oilseeds not elsewhere classified	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Summer Grains and Oilseeds not elsewhere classified	82	Plant Production and Plant Primary Products	8204	Summer Grains and Oilseeds
1.0.0	820501	Barley	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Barley	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820502	Canola	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Canola	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820503	Grain Legumes	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Grain Legumes	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820504	Linseed	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Linseed	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820505	Lupins	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Lupins	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820506	Oats	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Oats	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820507	Wheat	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Wheat	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820599	Winter Grains and Oilseeds not elsewhere classified	Plant Production and Plant Primary Products/Winter Grains and Oilseeds/Winter Grains and Oilseeds not elsewhere classified	82	Plant Production and Plant Primary Products	8205	Winter Grains and Oilseeds
1.0.0	820601	Cotton Lint and Cotton Seed	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Cotton Lint and Cotton Seed	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820602	Fresh Fruits and Vegetables (Post Harvest)	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Fresh Fruits and Vegetables (Post Harvest)	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820603	Sugar Cane (Cut for Crushing)	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Sugar Cane (Cut for Crushing)	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820604	Tobacco Leaf	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Tobacco Leaf	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820605	Unprocessed Grains	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Grains	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
