Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
810101	Air Force	8101	Defence	81	Defence	Defence/Defence/Air Force
810102	Army	8101	Defence	81	Defence	Defence/Defence/Army
810103	Command, Control and Communications	8101	Defence	81	Defence	Defence/Defence/Command, Control and Communications
810104	Emerging Defence Technologies	8101	Defence	81	Defence	Defence/Defence/Emerging Defence Technologies
810105	Intelligence	8101	Defence	81	Defence	Defence/Defence/Intelligence
810106	Logistics	8101	Defence	81	Defence	Defence/Defence/Logistics
810107	National Security	8101	Defence	81	Defence	Defence/Defence/National Security
810108	Navy	8101	Defence	81	Defence	Defence/Defence/Navy
810109	Personnel	8101	Defence	81	Defence	Defence/Defence/Personnel
810199	Defence not elsewhere classified	8101	Defence	81	Defence	Defence/Defence/Defence not elsewhere classified
820101	Hardwood Plantations	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Hardwood Plantations
820102	Harvesting and Transport of Forest Products	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Harvesting and Transport of Forest Products
820103	Integration of Farm and Forestry	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Integration of Farm and Forestry
820104	Native Forests	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Native Forests
820105	Softwood Plantations	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Softwood Plantations
820199	Forestry not elsewhere classified	8201	Forestry	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Forestry/Forestry not elsewhere classified
820201	Almonds	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Almonds
820202	Berry Fruit (excl. Kiwifruit)	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Berry Fruit (excl. Kiwifruit)
820203	Citrus Fruit	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Citrus Fruit
820204	Hops	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Hops
820205	Kiwifruit	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Kiwifruit
820206	Macadamias	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Macadamias
820207	Mushrooms and Truffles	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Mushrooms and Truffles
820208	Olives	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Olives
820209	Ornamentals, Natives, Flowers and Nursery Plants	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Ornamentals, Natives, Flowers and Nursery Plants
820210	Pome Fruit, Pip Fruit	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Pome Fruit, Pip Fruit
820211	Stone Fruit	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Stone Fruit
820212	Table Grapes	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Table Grapes
820213	Tree Nuts (excl. Almonds and Macadamias)	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Tree Nuts (excl. Almonds and Macadamias)
820214	Tropical Fruit	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Tropical Fruit
820215	Vegetables	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Vegetables
820299	Horticultural Crops not elsewhere classified	8202	Horticultural Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Horticultural Crops/Horticultural Crops not elsewhere classified
820301	Cotton	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Cotton
820302	Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Essential Oil Crops (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)
820303	Plant Extract Crops (e.g. Pyrethrum, Jojoba)	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Plant Extract Crops (e.g. Pyrethrum, Jojoba)
820304	Sugar	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Sugar
820305	Tobacco	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Tobacco
820306	Wine Grapes	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Wine Grapes
820399	Industrial Crops not elsewhere classified	8203	Industrial Crops	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Industrial Crops/Industrial Crops not elsewhere classified
820401	Maize	8204	Summer Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Maize
820402	Rice	8204	Summer Grains and Oilseeds	82	Plant Production and Plant Primary Products	Plant Production and Plant Primary Products/Summer Grains and Oilseeds/Rice
