Version	Code	Description	Definition
1.0	01	Match Funding	Funding must be matched by award(s) from another source
1.0	02	Real Costs Only	Only payable for costs directly incurred
1.0	03	Research Only	Cannot be used for administrative purposes
1.0	04	No Capital Purchases	Cannot be used for capital investment
1.0	05	Salary Only	Can only be used for salaries
1.0	06	No Salary for Non-NZ Based Investigators	Can only be used for salaries for NZ based staff
1.0	07	Infrastructure Only	Can only be used for infrastructure purchase or maintenance
1.0	08	Restricted infrastructure use	Only a limited proportion (<5%) can be used for infrastructure purchase or maintenance
1.0	09	Non RS&I Only	Cannot be used for RS&I activity
1.0	10	Flexible	May be used for RS&I activity, or for non RS&I activity
1.0	99	Other	NA
