Code	Description	Level_Three_Code	Level_Three_Description	Level_Two_Code	Level_Two_Description	Level_One_Code	Level_One_Description	Definition
10000	European nfd	100	European nfd	10	European nfd	1	European	
11111	New Zealand European	111	New Zealand European	11	New Zealand European	1	European	
12100	British nfd	121	British and Irish	12	Other European	1	European	
12111	Celtic nfd	121	British and Irish	12	Other European	1	European	
12112	Channel Islander	121	British and Irish	12	Other European	1	European	
12113	Cornish	121	British and Irish	12	Other European	1	European	
12114	English	121	British and Irish	12	Other European	1	European	
12116	Irish	121	British and Irish	12	Other European	1	European	
12117	Manx	121	British and Irish	12	Other European	1	European	
12119	Scottish	121	British and Irish	12	Other European	1	European	
12121	Welsh	121	British and Irish	12	Other European	1	European	
12199	British nec	121	British and Irish	12	Other European	1	European	
12211	Dutch	122	Dutch	12	Other European	1	European	
12311	Greek	123	Greek	12	Other European	1	European	
12411	Polish	124	Polish	12	Other European	1	European	
12500	South Slav nfd	125	South Slav	12	Other European	1	European	
12511	Croatian	125	South Slav	12	Other European	1	European	
12512	Dalmatian	125	South Slav	12	Other European	1	European	
12513	Macedonian	125	South Slav	12	Other European	1	European	
12514	Serbian	125	South Slav	12	Other European	1	European	
12515	Slovenian	125	South Slav	12	Other European	1	European	
12516	Bosnian	125	South Slav	12	Other European	1	European	
12599	South Slav nec	125	South Slav	12	Other European	1	European	
12611	Italian	126	Italian	12	Other European	1	European	
12711	German	127	German	12	Other European	1	European	
12811	Australian	128	Australian	12	Other European	1	European	
12911	Albanian	129	Other European	12	Other European	1	European	
12912	Armenian	129	Other European	12	Other European	1	European	
12913	Austrian	129	Other European	12	Other European	1	European	
12914	Belgian	129	Other European	12	Other European	1	European	
12915	Bulgarian	129	Other European	12	Other European	1	European	
12916	Belorussian	129	Other European	12	Other European	1	European	
12918	Cypriot nfd	129	Other European	12	Other European	1	European	
12919	Czech	129	Other European	12	Other European	1	European	
12920	Danish	129	Other European	12	Other European	1	European	
12921	Estonian	129	Other European	12	Other European	1	European	
12922	Finnish	129	Other European	12	Other European	1	European	
12923	Flemish	129	Other European	12	Other European	1	European	
12924	French	129	Other European	12	Other European	1	European	
12926	Hungarian	129	Other European	12	Other European	1	European	
12927	Icelandic	129	Other European	12	Other European	1	European	
12928	Latvian	129	Other European	12	Other European	1	European	
12929	Lithuanian	129	Other European	12	Other European	1	European	
12930	Maltese	129	Other European	12	Other European	1	European	
12931	Norwegian	129	Other European	12	Other European	1	European	
12932	Portuguese	129	Other European	12	Other European	1	European	
12933	Romanian	129	Other European	12	Other European	1	European	
12934	Gypsy	129	Other European	12	Other European	1	European	
12935	Russian	129	Other European	12	Other European	1	European	
12937	Slavic	129	Other European	12	Other European	1	European	
12938	Slovak	129	Other European	12	Other European	1	European	
12939	Spanish	129	Other European	12	Other European	1	European	
12940	Swedish	129	Other European	12	Other European	1	European	
12941	Swiss	129	Other European	12	Other European	1	European	
12942	Ukrainian	129	Other European	12	Other European	1	European	
12943	American	129	Other European	12	Other European	1	European	
12945	Canadian	129	Other European	12	Other European	1	European	
12947	New Caledonian	129	Other European	12	Other European	1	European	
12948	South African European	129	Other European	12	Other European	1	European	
12949	Afrikaner	129	Other European	12	Other European	1	European	
12950	Zimbabwean European	129	Other European	12	Other European	1	European	
12999	European nec	129	Other European	12	Other European	1	European	
21111	Māori	211	Māori	21	Māori	2	Māori	
30000	Pacific Peoples nfd	300	Pacific Peoples nfd	30	Pacific Peoples nfd	3	Pacific Peoples	
31111	Samoan	311	Samoan	31	Samoan	3	Pacific Peoples	
32100	Cook Islands Maori	321	Cook Islands Maori	32	Cook Islands Maori	3	Pacific Peoples	
33111	Tongan	331	Tongan	33	Tongan	3	Pacific Peoples	
34111	Niuean	341	Niuean	34	Niuean	3	Pacific Peoples	
35111	Tokelauan	351	Tokelauan	35	Tokelauan	3	Pacific Peoples	
36111	Fijian	361	Fijian	36	Fijian	3	Pacific Peoples	
37112	Indigenous Australian	371	Other Pacific Peoples	37	Other Pacific Peoples	3	Pacific Peoples	
37122	Hawaiian	371	Other Pacific Peoples	37	Other Pacific Peoples	3	Pacific Peoples	
37124	Kiribati	371	Other Pacific Peoples	37	Other Pacific Peoples	3	Pacific Peoples	
37130	Nauruan	371	Other Pacific Peoples	37	Other Pacific Peoples	3	Pacific Peoples	
