Version	Code	Description	Definition
1.0	DA01	Government department, non-public service department, office of Parliament and RBNZ	Public service departments, non-public service departments, offices of Parliament and the Reserve Bank of NZ. State Sector Act 1988
1.0	DA02	Crown Entity: Higher Education	"This category includes: 
- Tertiary Education Institution,
- University
- Polytechnic or Institute of Technology
- Wānanga
A tertiary education organisation is a tertiary education provider, an industry training organisation, or a person or body that provides tertiary education-related services in accordance with the Education Act 1989
A university is characterised by a wide diversity of teaching and research, especially at a higher level, that maintains, advances, disseminates, and assists the application of, knowledge, develops intellectual independence, and promotes community learning. 
A University has the following characteristics: 
- is primarily concerned with more advanced learning, the principal aim being to develop intellectual independence 
- research and teaching are closely interdependent and most teaching is done by people who are active in advancing knowledge
- meets international standards of research and teaching - is a repository of knowledge and expertise 
- accepts a role as critic and conscience of society.
Section 162(4) of the Education Act 1989
A polytechnic is characterised by a wide diversity of continuing education, including vocational training, that contributes to the maintenance, advancement, and dissemination of knowledge and expertise and promotes community learning, and by research, particularly applied and technological research, that aids development. [note Act only mentions ""polytechnic""]
A wananga is characterised by teaching and research that maintains, advances, and disseminates knowledge and develops intellectual independence, and assists the application of knowledge regarding ahuatanga Māori (Māori tradition) according to tikanga Māori (Māori custom)
"
1.0	DA03	Crown Research	"This category covers all of the crown entities that are not listed under Crown Entities: Higher Education category. 
- Crown Research Institute
- District health board
- Callaghan Innovation
- Crown entity not elsewhere classified
A Crown Research Institute is a Crown-owned company that carries out scientific research for the benefit of New Zealand, established under the Crown Research Institute Act 1992
A district health board as defined in Section 5(3) of the Public Health and Disability Act 2000. Includes the public hospitals owned and funded by district health boards"
1.0	DA04	State-owned enterprise	NA
1.0	DA05	Public Finance Act Schedule 4/4A Organisation and Company	NA
1.0	DA06	Secondary school	"A secondary school is one which is established under section 146 of the Education Act 1989, as a secondary school
This includes private, partnership and state funded schools"
1.0	DA07	Primary school	"A primary school  is one which is established under section 146 of the Education Act 1989, as a primary school or an intermediate school
This includes private, partnership and state funded schools"
1.0	DB01	Regional Council	A regional council is one type of local authority. Local Government Act 2002.Unitary bodies (e.g. Nelson, Tasman and Marlborough) should be considered Regional Councils
1.0	DB02	Territorial Authority	A territorial authority is a type of local authority. It can be either a city or district council. Local Government Act 2002. Unitary bodies (e.g. Nelson, Tasman and Marlborough) should be considered Regional Councils
1.0	DB03	Council-controlled trading organisations	Also called Council-controlled organisations and previously Local Authority Trading Enterprise (LATE). Any company with a majority council shareholding, or a trust or similar organisation with a majority of council-controlled votes or council-appointed trustees, unless designated otherwise
1.0	DC01	Mixed Ownership	NA
1.0	DD01	For Profit Entity	"This category includes:
- For profit entity,
- Individual Proprietorship
- Partnership
- Registered LLC (non Co-op)
- Co-operative Companies
- Joint Ventures and Consortia
- Branches of Companies Incorporated Overseas"
1.0	DD02	Not-for-profit organisation	"This category includes: 
- Trusts/Estates (e.g. Charitable Trust)
-  Industry associations,
- Incorporated societies
- Unincorporated societies
- Private Higher Education"
1.0	DE01	Other Domestic Organisations	NA
1.0	IF01	International State/Government/Local Authority	Any government, state entity or local authority of another country
1.0	IG01	International for-profit organisation	"International for-profit organisations that are not located in New Zealand including:
- For profit entity,
- Individual Proprietorship
- Partnership
- Registered LLC (non Co-op)
- Co-operative Companies
- Joint Ventures and Consortia
and excluding overseas branches of New Zealand Companies"
1.0	IG02	International not-for-profit organisation	"International not-for-profit organisations that are not located in New Zealand including: 
- Trusts/Estates (e.g. Charitable Trust)
- Industry associations,
- Incorporated societies
- Unincorporated societies
- Private Higher Education"
