Version	Code	Description	Appropriation	AppropriationPeriod	Vote	Scope	EstimateType	StartYear	EndYear	Amount
1.0	00006114-2007-E	Sustainable Farming Fund Agriculture and Forestry, 2007	Sustainable Farming Fund	A	Agriculture and Forestry	Scope not currently available	E	2007	2008	8444000
1.0	00008916-2007-E	Centres of Research Excellence Education, 2007	Centres of Research Excellence	A	Education	Scope not currently available	E	2007	2008	22841000
1.0	00008565-2007-E	Performance Based Research Fund Education, 2007	Performance Based Research Fund	A	Education	Scope not currently available	E	2007	2008	215920000
1.0	00008719-2007-E	Electricity Efficiency Energy, 2007	Electricity Efficiency	A	Energy	Scope not currently available	E	2007	2008	13074000
1.0	00000098-2007-E	International Energy Agency Contribution Energy, 2007	International Energy Agency Contribution	A	Energy	Scope not currently available	E	2007	2008	50000
1.0	00008889-2007-E	Advanced Network Research, Science and Technology, 2007	Advanced Network	A	Research, Science and Technology	Scope not currently available	E	2007	2008	247000
1.0	00008811-2007-E	Advanced Network Capability Building Research, Science and Technology, 2007	Advanced Network Capability Building	A	Research, Science and Technology	Scope not currently available	E	2007	2008	1221000
1.0	00008941-2007-E	Advanced Network CRI Tariffs Research, Science and Technology, 2007	Advanced Network CRI Tariffs	A	Research, Science and Technology	Scope not currently available	E	2007	2008	741000
1.0	00008843-2007-E	Australian Synchrotron Research, Science and Technology, 2007	Australian Synchrotron	A	Research, Science and Technology	Scope not currently available	E	2007	2008	609000
1.0	00009032-2007-E	Carter Observatory Grant Research, Science and Technology, 2007	Carter Observatory Grant	A	Research, Science and Technology	Scope not currently available	E	2007	2008	575000
1.0	00000753-2007-E	Convention Du Metre Research, Science and Technology, 2007	Convention Du Metre	A	Research, Science and Technology	Scope not currently available	E	2007	2008	95000
1.0	00000741-2007-E	CRI Capability Fund Research, Science and Technology, 2007	CRI Capability Fund	A	Research, Science and Technology	Scope not currently available	E	2007	2008	50612000
1.0	00008533-2007-E	Development of International Linkages Research, Science and Technology, 2007	Development of International Linkages	A	Research, Science and Technology	Scope not currently available	E	2007	2008	3227000
1.0	00006082-2007-E	Engaging New Zealanders with Science and Technology Research, Science and Technology, 2007	Engaging New Zealanders with Science and Technology	A	Research, Science and Technology	Scope not currently available	E	2007	2008	4321000
1.0	00006089-2007-E	Environmental Research Research, Science and Technology, 2007	Environmental Research	A	Research, Science and Technology	Scope not currently available	E	2007	2008	93449000
1.0	00008942-2007-E	Global Technology Partnership Programme Research, Science and Technology, 2007	Global Technology Partnership Programme	A	Research, Science and Technology	Scope not currently available	E	2007	2008	564000
1.0	00006087-2007-E	Health Research Research, Science and Technology, 2007	Health Research	A	Research, Science and Technology	Scope not currently available	E	2007	2008	58955000
1.0	00008659-2007-E	International Investment Opportunities Fund Research, Science and Technology, 2007	International Investment Opportunities Fund	A	Research, Science and Technology	Scope not currently available	E	2007	2008	9600000
1.0	00006086-2007-E	Māori Knowledge and Development Research Research, Science and Technology, 2007	Māori Knowledge and Development Research	A	Research, Science and Technology	Scope not currently available	E	2007	2008	4867000
1.0	00000748-2007-E	Marsden Fund Research, Science and Technology, 2007	Marsden Fund	A	Research, Science and Technology	Scope not currently available	E	2007	2008	35878000
1.0	00000745-2007-E	National Measurement Standards Research, Science and Technology, 2007	National Measurement Standards	A	Research, Science and Technology	Scope not currently available	E	2007	2008	5764000
1.0	00005545-2007-E	New Economy Research Fund Research, Science and Technology, 2007	New Economy Research Fund	A	Research, Science and Technology	Scope not currently available	E	2007	2008	65803000
1.0	00008560-2007-E	Pre-Seed Accelerator Fund Research, Science and Technology, 2007	Pre-Seed Accelerator Fund	A	Research, Science and Technology	Scope not currently available	E	2007	2008	8267000
1.0	00009059-2007-E	Research and Development Facilitation and Promotion Service Research, Science and Technology, 2007	Research and Development Facilitation and Promotion Service	A	Research, Science and Technology	Scope not currently available	E	2007	2008	600000
1.0	00006083-2007-E	Research Contract Management Research, Science and Technology, 2007	Research Contract Management	A	Research, Science and Technology	Scope not currently available	E	2007	2008	21114000
1.0	00006084-2007-E	Research for Industry Research, Science and Technology, 2007	Research for Industry	A	Research, Science and Technology	Scope not currently available	E	2007	2008	200660000
1.0	00006088-2007-E	Social Research Research, Science and Technology, 2007	Social Research	A	Research, Science and Technology	Scope not currently available	E	2007	2008	5860000
1.0	00003420-2007-E	Supporting Promising Individuals Research, Science and Technology, 2007	Supporting Promising Individuals	A	Research, Science and Technology	Scope not currently available	E	2007	2008	18658000
