Version	Code	Description	Definition
NZREG 1.0.0	00	No Qualification	
NZREG 1.0.0	01	Level 1 Certificate	
NZREG 1.0.0	02	Level 2 Certificate	
NZREG 1.0.0	03	Level 3 Certificate	
NZREG 1.0.0	04	Level 4 Certificate	
NZREG 1.0.0	05	Level 5 Diploma/Certificate	
NZREG 1.0.0	06	Level 6 Graduate Certificate, Level 6 Diploma/Certificate	
NZREG 1.0.0	07	Bachelor Degree, Level 7 Graduate Diploma/Certificate, Level 7 Diploma/ Certificate	
NZREG 1.0.0	08	Postgraduate Diploma/Certificate, Bachelor Honours	
NZREG 1.0.0	09	Masters Degree	
NZREG 1.0.0	10	Doctorate Degree	
NZREG 1.0.0	23	Overseas Secondary School Qualification	
NZREG 1.0.0	94	Don't Know	
NZREG 1.0.0	95	Refused to Answer	
NZREG 1.0.0	96	Repeated Value	
NZREG 1.0.0	97	Response Unidentifiable	
NZREG 1.0.0	98	Response Outside Scope	
NZREG 1.0.0	99	Not Stated	
